Movie_ID,Title,Genre,Budget_Millions,IMDB_Rating,User_Review,Box_Office_Millions
tt1000000,Movie Title 1,Romance,43.71,4.8,"It was okay, but could have been better. Absolutely loved it!",49.21
tt1000001,Movie Title 2,Comedy,24.04,8.9,One of the best movies of the year. Great acting and amazing visuals.,51.86
tt1000002,Movie Title 3,Romance,11.85,5.6,"Some good moments, but largely forgettable. Great acting and amazing visuals.",10.23
tt1000003,Movie Title 4,Action,86.68,6.9,"It was okay, but could have been better. Great acting and amazing visuals.",36.05
tt1000004,Movie Title 5,Horror,24.44,7.7,Absolutely loved it! One of the best movies of the year.,19.13
tt1000005,Movie Title 6,Romance,22.55,5.1,"Some good moments, but largely forgettable. Worst movie I've seen recently.",7.25
tt1000006,Movie Title 7,Horror,25.52,5.6,Started great but fell flat at the end. Absolutely loved it!,35.99
tt1000007,Movie Title 8,Comedy,56.28,5.7,An average popcorn flick. The plot made no sense.,67.1
tt1000008,Movie Title 9,Comedy,64.68,5.6,started great but fell flat at the end. one of the best movies of the year.,103.08
tt1000009,Movie Title 10,Action,69.53,5.6,Started great but fell flat at the end. Boring and uninspired.,142.24
tt1000010,Movie Title 11,Thriller,10.49,5.7,"It was okay, but could have been better. CGI was awful and acting was wooden.",11.93
tt1000011,Movie Title 12,Sci-Fi,231.86,7.7,A masterpiece. Highly recommend seeing this in theaters.,217.1
tt1000012,Movie Title 13,Horror,19.03,10.0,The plot was gripping and the characters were so well-written. One of the best movies of the year.,49.41
tt1000013,Movie Title 14,Action,86.97,7.6,One of the best movies of the year. Highly recommend seeing this in theaters.,139.78
tt1000014,Movie Title 15,Thriller,8.98,5.0,"Good visuals, but weak story. One of the best movies of the year.",1.85
tt1000015,Movie Title 16,Sci-Fi,104.27,5.8,Started great but fell flat at the end. The plot was gripping and the characters were so well-written.,176.25
tt1000016,Movie Title 17,Comedy,35.28,4.8,Started great but fell flat at the end. Great acting and amazing visuals.,36.27
tt1000017,Movie Title 18,Comedy,82.2,5.5,"Some good moments, but largely forgettable. A thrilling ride from start to finish.",115.3
tt1000018,Movie Title 19,Sci-Fi,51.1,7.4,Started great but fell flat at the end. A thrilling ride from start to finish.,98.04
tt1000019,Movie Title 20,Thriller,37.81,5.2,"It was okay, but could have been better. A thrilling ride from start to finish.",33.78
tt1000020,Movie Title 21,Thriller,43.84,4.2,Worst movie I've seen recently. CGI was awful and acting was wooden.,61.26
tt1000021,Movie Title 22,Comedy,15.72,4.8,"Some good moments, but largely forgettable. The plot made no sense.",5.82
tt1000022,Movie Title 23,Sci-Fi,195.92,7.8,Incredible performance by the lead. A thrilling ride from start to finish.,332.82
tt1000023,Movie Title 24,Comedy,52.5,7.0,"Good visuals, but weak story. Terrible movie.",57.01
tt1000024,Movie Title 25,Sci-Fi,202.16,8.7,Incredible performance by the lead. The plot was gripping and the characters were so well-written.,387.68
tt1000025,Movie Title 26,Horror,27.22,2.6,Don't bother watching this. A complete waste of time.,25.18
tt1000026,Movie Title 27,Thriller,6.14,4.4,A complete waste of time. The plot made no sense.,8.57
tt1000027,Movie Title 28,Thriller,27.89,6.2,An average popcorn flick. Great acting and amazing visuals.,39.39
tt1000028,Movie Title 29,Horror,23.47,5.3,An average popcorn flick. Terrible movie.,33.68
tt1000029,Movie Title 30,Thriller,8.46,5.3,"It was okay, but could have been better. One of the best movies of the year.",6.83
tt1000030,Movie Title 31,Horror,46.84,7.3,Started great but fell flat at the end. The plot made no sense.,95.06
tt1000031,Movie Title 32,Sci-Fi,224.29,5.7,"good visuals, but weak story. cgi was awful and acting was wooden.",313.49
tt1000032,Movie Title 33,Romance,90.33,8.6,Highly recommend seeing this in theaters. Great acting and amazing visuals.,162.53
tt1000033,Movie Title 34,Action,229.22,5.4,Started great but fell flat at the end. Incredible performance by the lead.,212.15
tt1000034,Movie Title 35,Thriller,15.26,8.4,Great acting and amazing visuals. Absolutely loved it!,23.44
tt1000035,Movie Title 36,Sci-Fi,222.15,6.5,"It was okay, but could have been better. One of the best movies of the year.",263.07
tt1000036,Movie Title 37,Thriller,23.78,5.9,started great but fell flat at the end. a thrilling ride from start to finish.,24.66
tt1000037,Movie Title 38,Horror,20.19,6.3,"It was okay, but could have been better. Great acting and amazing visuals.",29.35
tt1000038,Movie Title 39,Thriller,28.35,5.1,"It was okay, but could have been better. Highly recommend seeing this in theaters.",48.73
tt1000039,Movie Title 40,Sci-Fi,244.36,3.6,The plot made no sense. I fell asleep halfway through.,173.76
tt1000040,Movie Title 41,Horror,17.82,6.7,An average popcorn flick. Incredible performance by the lead.,19.86
tt1000041,Movie Title 42,Thriller,27.62,6.2,"Good visuals, but weak story. A complete waste of time.",38.48
tt1000042,Movie Title 43,Romance,23.04,7.0,Started great but fell flat at the end. CGI was awful and acting was wooden.,32.22
tt1000043,Movie Title 44,Sci-Fi,98.41,8.2,A masterpiece. One of the best movies of the year.,198.67
tt1000044,Movie Title 45,Horror,15.69,5.3,"Some good moments, but largely forgettable. A thrilling ride from start to finish.",27.49
tt1000045,Movie Title 46,Action,176.46,7.4,"It was okay, but could have been better. A masterpiece.",453.73
tt1000046,Movie Title 47,Action,68.06,5.8,Started great but fell flat at the end. Great acting and amazing visuals.,109.82
tt1000047,Movie Title 48,Drama,26.79,6.6,An average popcorn flick. Incredible performance by the lead.,28.88
tt1000048,Movie Title 49,Romance,70.98,6.5,"Some good moments, but largely forgettable. Don't bother watching this.",79.5
tt1000049,Movie Title 50,Sci-Fi,95.3,4.9,an average popcorn flick. incredible performance by the lead.,116.08
tt1000050,Movie Title 51,Romance,72.18,7.4,An average popcorn flick. Boring and uninspired.,101.47
tt1000051,Movie Title 52,Sci-Fi,77.5,5.3,"it was okay, but could have been better. one of the best movies of the year.",70.06
tt1000052,Movie Title 53,Romance,93.22,6.0,Started great but fell flat at the end. One of the best movies of the year.,137.13
tt1000053,Movie Title 54,Comedy,69.4,6.8,"Some good moments, but largely forgettable. CGI was awful and acting was wooden.",140.31
tt1000054,Movie Title 55,Comedy,57.67,6.0,Started great but fell flat at the end. CGI was awful and acting was wooden.,63.42
tt1000055,Movie Title 56,Action,229.44,6.9,an average popcorn flick. one of the best movies of the year.,405.86
tt1000056,Movie Title 57,Horror,20.26,8.4,Absolutely loved it! A masterpiece.,25.45
tt1000057,Movie Title 58,Thriller,45.37,6.9,"Good visuals, but weak story. The plot was gripping and the characters were so well-written.",70.25
tt1000058,Movie Title 59,Sci-Fi,178.41,6.8,"Good visuals, but weak story. I fell asleep halfway through.",319.63
tt1000059,Movie Title 60,Comedy,10.83,6.9,An average popcorn flick. Absolutely loved it!,11.16
tt1000060,Movie Title 61,Drama,10.46,6.8,An average popcorn flick. A complete waste of time.,7.78
tt1000061,Movie Title 62,Romance,72.27,4.7,"Some good moments, but largely forgettable. Don't bother watching this.",91.85
tt1000062,Movie Title 63,Drama,74.1,5.4,"Good visuals, but weak story. A masterpiece.",37.75
tt1000063,Movie Title 64,Horror,38.59,7.9,absolutely loved it! the plot was gripping and the characters were so well-written.,69.29
tt1000064,Movie Title 65,Horror,34.59,5.2,an average popcorn flick. the plot was gripping and the characters were so well-written.,38.49
tt1000065,Movie Title 66,Horror,21.55,5.2,"it was okay, but could have been better. the plot was gripping and the characters were so well-written.",13.47
tt1000066,Movie Title 67,Action,244.6,7.8,One of the best movies of the year. Incredible performance by the lead.,353.16
tt1000067,Movie Title 68,Horror,33.4,6.5,"Good visuals, but weak story. A masterpiece.",67.83
tt1000068,Movie Title 69,Sci-Fi,165.38,4.4,Worst movie I've seen recently. I fell asleep halfway through.,142.36
